tmax,tmin,station,date
23.7,8,MARCOS JUAREZ AERO,2018-10-05
20,4.5,MARIANO MORENO AERO,2018-10-05
26.4,10.2,MENDOZA AERO,2018-10-05
25.6,9,MENDOZA OBSERVATORIO,2018-10-05
22,12.8,MERCEDES AERO (CTES),2018-10-05
19.5,8.6,MERLO AERO,2018-10-05
27.4,11.9,METAN,2018-10-05
21.4,11.3,MONTE CASEROS AERO,2018-10-05
19.6,9.7,MORON AERO,2018-10-05
23.5,8.6,NEUQUEN AERO,2018-10-05
20,7,NUEVE DE JULIO,2018-10-05
24.5,11.5,OBERA AERO,2018-10-05
16.6,1.6,OLAVARRIA AERO,2018-10-05
30,17,ORAN AERO,2018-10-05
22.4,9.8,PARANA AERO,2018-10-05
25,-0.1,PASO DE INDIOS,2018-10-05
22.2,11.9,PASO DE LOS LIBRES AERO,2018-10-05
27.6,14,PCIA. ROQUE SAENZ PE�A AERO,2018-10-05
17.9,6,PEHUAJO AERO,2018-10-05
16.2,0.1,PERITO MORENO AERO,2018-10-05
17.3,1.8,PIGUE AERO,2018-10-05
24,11,PILAR OBS.,2018-10-05
24.5,14.2,POSADAS AERO,2018-10-05
15,3,PUERTO DESEADO AERO,2018-10-05
27.2,5.4,PUERTO MADRYN AERO,2018-10-05
14.2,8,PUNTA INDIO B.A.,2018-10-05
22.6,12,RAFAELA AERO,2018-10-05
23,13.1,RECONQUISTA AERO,2018-10-05
25.5,15.6,RESISTENCIA AERO,2018-10-05
23,4.8,RIO COLORADO,2018-10-05
23,9.9,RIO CUARTO AERO,2018-10-05
13.7,3.2,RIO GALLEGOS AERO,2018-10-05
12.6,1.6,RIO GRANDE B.A.,2018-10-05
30.6,18.4,RIVADAVIA,2018-10-05
24.1,9.4,ROSARIO AERO,2018-10-05
23.4,13.2,SALTA AERO,2018-10-05
24.6,3.4,SAN ANTONIO OESTE AERO,2018-10-05
25.5,5,SAN CARLOS (MZA),2018-10-05
17.6,7.7,SAN FERNANDO,2018-10-05
28.3,9.7,SAN JUAN AERO,2018-10-05
14.9,3.9,SAN JULIAN AERO,2018-10-05
27.1,15.4,SAN LUIS AERO,2018-10-05
27.6,9.9,SAN MARTIN (MZA),2018-10-05
26.5,5.7,SAN RAFAEL AERO,2018-10-05
14.5,0,SANTA CRUZ AERO,2018-10-05
20.1,6,SANTA ROSA AERO,2018-10-05
27,,SANTA ROSA DE CONLARA AERO,2018-10-05
30,13.5,SANTIAGO DEL ESTERO AERO,2018-10-05
24.1,9.7,SAUCE VIEJO AERO,2018-10-05
26,10.3,SUNCHALES AERO,2018-10-05
16.8,-0.4,TANDIL AERO,2018-10-05
26.1,14.7,TARTAGAL AERO,2018-10-05
31.5,16,TERMAS DE RIO HONDO AERO,2018-10-05
28,8.5,TINOGASTA,2018-10-05
28,4.3,TRELEW AERO,2018-10-05
20.6,7,TRENQUE LAUQUEN,2018-10-05
19.4,-0.1,TRES ARROYOS,2018-10-05
30.6,15.1,TUCUMAN AERO,2018-10-05
10.5,3.6,USHUAIA AERO,2018-10-05
26.4,2.3,USPALLATA,2018-10-05
22,5.5,VENADO TUERTO,2018-10-05
21.3,5.5,VICTORICA,2018-10-05
23,-1,VIEDMA AERO,2018-10-05
28.6,18,VILLA DOLORES AERO,2018-10-05
12.8,4.5,VILLA GESELL AERO,2018-10-05
27.6,14.4,VILLA MARIA DEL RIO SECO,2018-10-05
27.4,13.2,VILLA REYNOLDS AERO,2018-10-05
20,12,AEROPARQUE AERO,2018-10-06
20.6,5.1,AZUL AERO,2018-10-06
25.6,5.7,BAHIA BLANCA AERO,2018-10-06
16.5,-0.4,BARILOCHE AERO,2018-10-06
-9.1,-16.5,BASE BELGRANO II,2018-10-06
3.2,-3,BASE CARLINI (EX JUBANY),2018-10-06
3.3,-2.5,BASE ESPERANZA,2018-10-06
0.5,-6.1,BASE MARAMBIO,2018-10-06
-5.4,-9.2,BASE ORCADAS,2018-10-06
1.8,-6.6,BASE SAN MARTIN,2018-10-06
20.3,5.2,BENITO JUAREZ AERO,2018-10-06
20.4,13.8,BERNARDO DE IRIGOYEN AERO,2018-10-06
23.6,8.9,BOLIVAR AERO,2018-10-06
21.4,11.5,BUENOS AIRES,2018-10-06
22.3,8.2,CAMPO DE MAYO AERO,2018-10-06
31.8,18.4,CATAMARCA AERO,2018-10-06
27,9.9,CERES AERO,2018-10-06
28.5,14.6,CHAMICAL AERO,2018-10-06
18.2,4.6,CHAPELCO AERO,2018-10-06
28,15.5,CHEPES,2018-10-06
26.8,11.8,CHILECITO AERO,2018-10-06
26.6,8.3,CIPOLLETTI,2018-10-06
22.2,6.6,COMODORO RIVADAVIA AERO,2018-10-06
20.4,11.2,CONCORDIA AERO,2018-10-06
28,10.3,CORDOBA AERO,2018-10-06
28.2,14.6,CORDOBA OBSERVATORIO,2018-10-06
21.1,5.4,CORONEL PRINGLES AERO,2018-10-06
22.5,5.4,CORONEL SUAREZ AERO,2018-10-06
23.7,11.4,CORRIENTES AERO,2018-10-06
20.2,8.5,DOLORES AERO,2018-10-06
18.3,2.8,EL BOLSON AERO,2018-10-06
15.7,1,EL CALAFATE AERO,2018-10-06
21.7,9.5,EL PALOMAR AERO,2018-10-06
25.5,11.1,EL TREBOL,2018-10-06
,,ESC.AVIACION MILITAR AERO,2018-10-06
15.4,3.8,ESQUEL AERO,2018-10-06
21.4,8.1,EZEIZA AERO,2018-10-06
25.9,15.2,FORMOSA AERO,2018-10-06
27.5,8.8,GENERAL PICO AERO,2018-10-06
17.5,9,GOBERNADOR GREGORES AERO,2018-10-06
20.8,9.5,GUALEGUAYCHU AERO,2018-10-06
22.6,13,IGUAZU AERO,2018-10-06
26,11,ITUZAINGO,2018-10-06
28.7,6,JACHAL,2018-10-06
28.6,11.3,JUJUY AERO,2018-10-06
25.9,10.1,JUJUY U N,2018-10-06
24.5,9.1,JUNIN AERO,2018-10-06
